Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.89016 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.70544 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 38.22696 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.59921 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.41499 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 38.29792 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.07724 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.08697 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.66058 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.60485 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.16770 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 35.29930 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.87411 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.33696 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.57519 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.62200 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.23962 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.00668 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.63285 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.62780 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.22738 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.34914 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.68549 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.71477 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 36.70626 %
Validity: -0.40000 % | Diversity: -0.40000 % | Reconstruction: 37.59779 %
